step,dist_from_init,embed_rank,attn_out_rank,ffn_in_rank,out_head_rank,top_hessian_eig,neuron_participation_ratio
5000,0.0,23.05413246154785,31.866580963134766,34.95024490356445,19.168216705322266,890.1895141601562,82.302001953125
10000,22.038134779403595,22.13782501220703,34.8271369934082,35.863624572753906,17.790205001831055,3914.752685546875,128.1009063720703
15000,26.073691510513274,21.908281326293945,34.94308090209961,41.924007415771484,19.7918643951416,2078.911376953125,121.52787017822266
20000,27.070824287288193,21.22055435180664,36.447265625,33.15285110473633,20.599409103393555,1617.724609375,120.79257202148438
25000,25.90357184430944,23.88640785217285,34.732913970947266,43.04441833496094,20.35717010498047,1115.4527587890625,146.5620574951172
30000,29.09615233651598,23.284542083740234,32.8391227722168,37.052555084228516,22.500591278076172,2075.29541015625,172.67918395996094
35000,30.054722658510318,25.913524627685547,36.79838562011719,45.30681610107422,20.72855567932129,1564.623291015625,164.68560791015625
40000,31.631412542319282,25.593994140625,35.68566131591797,41.23084259033203,20.319833755493164,440.8445739746094,167.13687133789062
45000,38.37901417384869,24.51775550842285,31.5029239654541,40.29386520385742,21.795612335205078,1909.1097412109375,167.90597534179688
50000,41.66344417005491,25.746780395507812,34.4732780456543,40.69895935058594,20.320960998535156,565.0458374023438,177.4352569580078
