Condition,Collapse Level,Final Train Acc,Final Test Acc,Final Weight Norm,Grokking Step,Grokked
pure,0.0,1.0,1.0,28.9126792081784,38500,True
low_collapse,0.05,0.9904214559386973,0.9318834632745179,36.13466735018998,1900,True
medium_collapse,0.15,1.0,0.8588428395568322,36.150768050625565,8900,True
high_collapse,0.3,0.9990421455938697,0.34755847353303243,54.94424109133327,N/A,False
severe_collapse,0.5,0.9904214559386973,0.035699630693475586,56.784281211228304,N/A,False
