wd,noise,seed,grokked,grokking_step,final_train_acc,final_test_acc,final_fourier_concentration,final_embedding_rank,final_weight_norm
0.3,0.0,42,True,3700,1.0,1.0,0.2704756557941437,33.40947723388672,27.950792716933552
0.3,0.0,43,True,3000,1.0,1.0,0.30479690432548523,31.77823829650879,27.05608079315148
0.3,0.0,44,True,3000,1.0,1.0,0.267187237739563,34.89249801635742,27.4367490770515
0.3,0.0,45,True,2900,1.0,1.0,0.2874120771884918,31.879409790039062,25.47866792579312
0.3,0.0,46,True,3800,1.0,1.0,0.35634246468544006,26.877853393554688,24.94522991489241
0.3,0.05,42,True,7300,1.0,0.9753795650389824,0.1763947755098343,41.45473861694336,43.77786135687651
0.3,0.05,43,True,7500,1.0,0.9827656955272877,0.1815127283334732,40.28630447387695,43.77362880526815
0.3,0.05,44,True,6300,1.0,0.9794829708658186,0.1847822517156601,39.64761734008789,40.446090070991275
0.3,0.05,45,True,6700,1.0,0.9807139926138695,0.19702568650245667,39.58956527709961,42.77807578051352
0.3,0.05,46,True,6000,1.0,0.9786622897004513,0.18709786236286163,40.350746154785156,41.46277025489852
0.3,0.1,42,True,20800,1.0,0.9634796881411571,0.19195838272571564,39.35802459716797,38.57738545329579
0.3,0.1,43,True,25800,1.0,0.9593762823143209,0.18942657113075256,40.28511047363281,42.405396069582885
0.3,0.1,44,True,25400,1.0,0.9491177677472302,0.1784629076719284,42.260311126708984,45.23821860788255
0.3,0.1,45,True,18100,1.0,0.9708658186294624,0.1947835236787796,40.21845245361328,38.90249542066833
0.3,0.1,46,True,28200,1.0,0.9634796881411571,0.19574885070323944,40.04115295410156,48.80743077548969
0.3,0.15,42,False,,1.0,0.8526877308165778,0.1777215451002121,40.09043502807617,50.7017791874708
0.3,0.15,43,False,,1.0,0.8350430857611818,0.18404234945774078,41.63578414916992,50.053815383642025
0.3,0.15,44,False,,1.0,0.8091916290521133,0.17781797051429749,40.716651916503906,49.909596244276024
0.3,0.15,45,False,,1.0,0.9002872384078785,0.18031907081604004,40.694786071777344,52.54578490914405
0.3,0.15,46,False,,0.921455938697318,0.6249487074271646,0.19242604076862335,39.33115768432617,53.650904491332625
0.3,0.2,42,False,,1.0,0.7267131719327041,0.16887463629245758,41.80282974243164,60.243732710131844
0.3,0.2,43,False,,1.0,0.739023389413213,0.17519010603427887,39.238975524902344,48.65498330162776
0.3,0.2,44,False,,1.0,0.6704965121050472,0.16520284116268158,41.26487731933594,52.19808067715173
0.3,0.2,45,False,,1.0,0.6729585556011489,0.17658156156539917,37.58349609375,53.45363473058416
0.3,0.2,46,False,,1.0,0.6787033237587198,0.17280739545822144,39.641868591308594,56.52940723441936
0.3,0.3,42,False,,1.0,0.3647927780057448,0.14935550093650818,39.0213508605957,56.6553902338502
0.3,0.3,43,False,,1.0,0.37997537956503896,0.15292449295520782,38.186580657958984,57.295424145331054
0.3,0.3,44,False,,1.0,0.2708247845711941,0.14164035022258759,39.646453857421875,58.78413142776771
0.3,0.3,45,False,,1.0,0.25112843660238,0.14454004168510437,37.97319030761719,55.8667912098718
0.3,0.3,46,False,,1.0,0.18998768978251948,0.1441778838634491,43.484336853027344,73.51219980265208
1.0,0.0,42,True,1700,1.0,1.0,0.2795911133289337,26.515235900878906,33.19913477536253
1.0,0.0,43,True,1400,1.0,1.0,0.35642316937446594,22.898733139038086,27.16381991434744
1.0,0.0,44,True,1300,0.9616858237547893,0.9183422240459581,0.26322174072265625,30.529823303222656,40.203411891888365
1.0,0.0,45,True,1300,1.0,1.0,0.33235228061676025,23.18718910217285,31.316850483733077
1.0,0.0,46,True,1400,1.0,1.0,0.31537413597106934,25.401844024658203,32.74715919021859
1.0,0.05,42,True,3100,1.0,0.9786622897004513,0.18970327079296112,34.18342208862305,35.19744097235274
1.0,0.05,43,True,2900,1.0,0.9753795650389824,0.19264346361160278,35.055965423583984,38.90040044678905
1.0,0.05,44,True,2300,0.9980842911877394,0.964710709889208,0.20806139707565308,33.84938049316406,35.41857749523448
1.0,0.05,45,True,2800,0.9990421455938697,0.9848173984407058,0.2058035433292389,34.598236083984375,33.22465534633911
1.0,0.05,46,True,2700,1.0,0.9803036520311859,0.2044810950756073,32.216651916503906,34.58414518794935
1.0,0.1,42,True,9400,0.9990421455938697,0.9080837094788674,0.1784420907497406,37.19802474975586,37.28292450983197
1.0,0.1,43,True,21100,1.0,0.9458350430857612,0.18470138311386108,37.69556427001953,41.36813213535897
1.0,0.1,44,True,19200,0.9837164750957854,0.8424292162494871,0.1751943975687027,38.06435012817383,37.5825280926313
1.0,0.1,45,True,4200,1.0,0.9433729995896594,0.18102236092090607,35.780941009521484,38.66930547418186
1.0,0.1,46,True,12300,1.0,0.9281903980303652,0.1758495569229126,34.845924377441406,35.84945033967848
1.0,0.15,42,False,,1.0,0.8748461222814936,0.18502621352672577,35.370506286621094,42.299490315504
1.0,0.15,43,False,,0.9952107279693486,0.7525646286417726,0.17711061239242554,37.66147994995117,43.71364224623043
1.0,0.15,44,False,,0.9990421455938697,0.8576118178087813,0.172095388174057,37.54557418823242,35.727947137967014
1.0,0.15,45,False,,1.0,0.8674599917931883,0.17826145887374878,36.37495803833008,39.071056537511595
1.0,0.15,46,False,,1.0,0.8592531801395158,0.17912557721138,37.4405517578125,42.20189801624742
1.0,0.2,42,False,,1.0,0.8366844480919163,0.1766592413187027,40.621131896972656,42.9666030468863
1.0,0.2,43,False,,0.9923371647509579,0.7127615921214608,0.18018989264965057,40.037899017333984,44.205731802272425
1.0,0.2,44,False,,0.9980842911877394,0.7784160853508412,0.15364651381969452,44.44281005859375,43.47258994018289
1.0,0.2,45,False,,0.9808429118773946,0.6819860484201887,0.1772218942642212,41.37209701538086,52.912206509636746
1.0,0.2,46,False,,0.9980842911877394,0.780878128846943,0.1716097891330719,41.57656478881836,41.757904963263464
1.0,0.3,42,False,,0.9961685823754789,0.2946245383668445,0.1684819459915161,37.404869079589844,59.73677542357692
1.0,0.3,43,False,,0.9511494252873564,0.2548215018465326,0.15775428712368011,40.31142807006836,53.51159798026608
1.0,0.3,44,False,,0.935823754789272,0.21665982765695527,0.15453402698040009,39.46044158935547,53.78428312583187
1.0,0.3,45,False,,0.9032567049808429,0.21789084940500617,0.16616129875183105,39.16462707519531,61.25458105918767
1.0,0.3,46,False,,0.9243295019157088,0.19491177677472302,0.15826834738254547,37.71199417114258,59.72670926563865
3.0,0.0,42,False,,0.26436781609195403,0.15962248666393106,0.5632962584495544,14.363845825195312,20.1183630846852
3.0,0.0,43,False,,0.19923371647509577,0.1436192039392696,0.7374321222305298,6.938549041748047,19.839629036312207
3.0,0.0,44,False,,0.2231800766283525,0.12761592121460813,0.433070570230484,9.389318466186523,17.001009175341522
3.0,0.0,45,False,,0.2413793103448276,0.13254000820681167,0.343481183052063,10.38189697265625,14.428192468526019
3.0,0.0,46,False,,0.24521072796934865,0.1719327041444399,0.7075446248054504,7.929908275604248,21.59833990300232
3.0,0.05,42,False,,0.17624521072796934,0.11489536315141567,0.5616557598114014,9.965343475341797,17.21242783866748
3.0,0.05,43,False,,0.18199233716475097,0.12802626179729176,0.5226038098335266,10.767102241516113,27.854950815234137
3.0,0.05,44,False,,0.1417624521072797,0.09684037751333607,0.5427687764167786,9.569036483764648,17.91558724313231
3.0,0.05,45,False,,0.11494252873563218,0.09273697168649979,0.6569744944572449,7.410679340362549,16.285441378078584
3.0,0.05,46,False,,0.23754789272030652,0.1723430447271235,0.6051097512245178,11.429048538208008,19.17872512318798
3.0,0.1,42,False,,0.10153256704980843,0.07960607304062371,0.5911786556243896,8.233785629272461,18.771366894924718
3.0,0.1,43,False,,0.15996168582375478,0.11284366023799754,0.5433443784713745,11.028613090515137,18.750622307480725
3.0,0.1,44,False,,0.18199233716475097,0.10094378334017234,0.43867504596710205,13.11661434173584,18.206494623824813
3.0,0.1,45,False,,0.11685823754789272,0.0553959786622897,0.20903776586055756,13.442753791809082,8.515374149220902
3.0,0.1,46,False,,0.12260536398467432,0.04267542059909725,0.1946837455034256,16.92580795288086,10.268030910626951
3.0,0.15,42,False,,0.16283524904214558,0.11694706606483381,0.5432414412498474,10.750203132629395,18.655334719424904
