level,severity,seed,grokked,grokking_step,final_train_acc,final_test_acc,final_fourier_concentration,final_weight_norm,final_embedding_rank
0.3,0.6,42,False,,0.9770114942528736,0.36889618383258105,0.16627846658229828,55.02683761305293,38.702301025390625
0.3,0.6,43,False,,0.9942528735632183,0.34222404595814526,0.16550496220588684,53.6492126360204,37.326778411865234
0.3,0.6,44,False,,0.9923371647509579,0.31842429216249485,0.16759845614433289,61.23141646751125,36.945186614990234
0.3,0.6,46,False,,0.9722222222222222,0.3225276979893311,0.16318413615226746,59.052775544234535,37.242313385009766
0.3,0.6,45,False,,0.9760536398467433,0.3057037340993024,0.1565655767917633,57.811426291595,40.53828048706055
0.15,0.3,42,False,,0.9990421455938697,0.8411981945014362,0.1858506053686142,44.80321818767141,36.64324951171875
0.15,0.3,43,False,,0.9990421455938697,0.839146491588018,0.16969507932662964,49.46640418349225,39.09944152832031
0.15,0.3,44,False,,1.0,0.8559704554780467,0.17615260183811188,38.126432343867535,38.132484436035156
0.15,0.3,46,False,,1.0,0.888797702092737,0.18704432249069214,46.82278568410213,34.556549072265625
0.15,0.3,45,False,,0.9741379310344828,0.7767747230201066,0.17064756155014038,44.69455509292408,38.089263916015625
0.15,0.9,42,False,,0.9990421455938697,0.8871563397620025,0.17485471069812775,38.98149036054854,39.22292709350586
0.15,0.9,43,False,,1.0,0.8555601148953631,0.1838161200284958,40.802702385445926,39.20287322998047
0.15,0.9,44,False,,1.0,0.854739433729996,0.18906091153621674,42.327763946401014,36.19068908691406
0.15,0.9,46,False,,1.0,0.8686910135412392,0.1758953332901001,42.99609517240279,37.47508239746094
0.15,0.9,45,False,,0.9980842911877394,0.8801805498563808,0.1776234656572342,41.44569556418936,39.364688873291016
0.3,0.9,42,False,,0.975095785440613,0.4788674599917932,0.1729031205177307,52.46082876656021,40.1998176574707
0.3,0.9,43,False,,0.9865900383141762,0.317193270414444,0.1689465045928955,54.2720940187572,38.0843391418457
0.3,0.9,44,False,,0.9434865900383141,0.3192449733278621,0.17506809532642365,56.99113293209277,37.68772506713867
0.3,0.9,46,False,,0.9837164750957854,0.25359048009848173,0.16804009675979614,52.65114077662607,38.91509246826172
0.3,0.9,45,False,,0.9865900383141762,0.3311448502256873,0.17048770189285278,53.65425456069717,38.845638275146484
0.15,0.6,42,False,,0.9789272030651341,0.7472302010668855,0.19515499472618103,43.39174084955657,38.76395034790039
0.15,0.6,43,False,,0.9894636015325671,0.819450143619204,0.18167367577552795,45.58068191112581,36.36971664428711
0.15,0.6,44,False,,0.9980842911877394,0.8518670496512105,0.19260434806346893,42.890996498174644,36.900386810302734
0.15,0.6,46,False,,1.0,0.8732047599507591,0.17505325376987457,44.85568831748487,38.537105560302734
0.15,0.6,45,False,,0.9980842911877394,0.8239638900287238,0.1755491942167282,46.45615054515847,36.94051742553711
0.05,0.3,42,True,2800,1.0,0.9848173984407058,0.20477481186389923,36.3174290330349,32.3353385925293
0.05,0.3,43,True,2500,1.0,0.9926138695116947,0.2204662710428238,36.71852999750299,32.710174560546875
0.05,0.3,44,True,2100,1.0,0.982355354944604,0.21165843307971954,35.29801116051794,36.1670036315918
0.05,0.3,46,True,2700,1.0,0.979072630283135,0.21890254318714142,33.78874980077966,31.525840759277344
0.05,0.3,45,True,2900,0.9827586206896551,0.95814526056627,0.21492443978786469,36.53682211878,33.368289947509766
0.05,0.6,42,True,3100,0.9961685823754789,0.954862535904801,0.20566029846668243,38.55016898106348,33.33032989501953
0.05,0.6,43,True,2800,1.0,0.9798933114485022,0.2073497176170349,35.73526693450831,35.50682830810547
0.05,0.6,44,True,2000,1.0,0.9807139926138695,0.20087863504886627,33.322401727293794,35.59105682373047
0.05,0.6,46,True,2400,1.0,0.9786622897004513,0.2057393193244934,32.93310365676668,32.02299499511719
0.05,0.6,45,True,2800,0.9923371647509579,0.9831760361099713,0.20001578330993652,33.75679494026061,32.35137176513672
0.05,0.9,42,True,2700,1.0,0.972507180960197,0.20358940958976746,33.342504044834556,33.174766540527344
0.05,0.9,43,True,2200,0.9980842911877394,0.9860484201887567,0.22612398862838745,36.304335692655556,33.47339630126953
0.05,0.9,44,True,2500,1.0,0.9827656955272877,0.19630958139896393,40.073951889438824,34.305885314941406
0.05,0.9,46,True,3000,1.0,0.972507180960197,0.21121440827846527,33.98977759673001,35.20083999633789
0.05,0.9,45,True,2100,0.9980842911877394,0.9766105867870333,0.21519573032855988,33.0070587236698,33.79624557495117
0.0,0.6,42,True,1700,1.0,1.0,0.3009507656097412,30.311590703388994,25.126922607421875
0.0,0.6,43,True,1400,1.0,1.0,0.325167179107666,31.56538701894806,25.80463409423828
0.0,0.6,44,True,1300,0.9616858237547893,0.9183422240459581,0.26322174072265625,40.203411891888365,30.529823303222656
0.0,0.6,46,True,1400,1.0,1.0,0.31537413597106934,32.74715919021859,25.401844024658203
0.0,0.6,45,True,1300,1.0,1.0,0.33235228061676025,31.31685048373308,23.18718910217285
0.0,0.3,42,True,1700,1.0,1.0,0.3009507656097412,30.311590703388994,25.126922607421875
0.0,0.3,43,True,1400,1.0,1.0,0.325167179107666,31.56538701894806,25.80463409423828
0.0,0.3,44,True,1300,0.9616858237547893,0.9183422240459581,0.26322174072265625,40.203411891888365,30.529823303222656
0.0,0.3,46,True,1400,1.0,1.0,0.31537413597106934,32.74715919021859,25.401844024658203
0.0,0.3,45,True,1300,1.0,1.0,0.33235228061676025,31.31685048373308,23.18718910217285
0.0,0.9,42,True,1700,1.0,1.0,0.3009507656097412,30.311590703388994,25.126922607421875
0.0,0.9,43,True,1400,1.0,1.0,0.325167179107666,31.56538701894806,25.80463409423828
0.0,0.9,44,True,1300,0.9616858237547893,0.9183422240459581,0.26322174072265625,40.203411891888365,30.529823303222656
0.0,0.9,46,True,1400,1.0,1.0,0.31537413597106934,32.74715919021859,25.401844024658203
