wd,noise,seed,final_train_acc,final_test_acc,max_test_acc,late_slope,tag
0.3,0.0,42,1.0,1.0,1.0,0.002557242511284419,grokked
0.3,0.0,43,1.0,1.0,1.0,-0.002393106278210988,grokked
0.3,0.0,44,1.0,1.0,1.0,0.006604842018875567,grokked
0.3,0.0,45,1.0,1.0,1.0,-0.015963890028723893,grokked
0.3,0.0,46,1.0,1.0,1.0,-0.014411161263849004,grokked
0.3,0.05,42,1.0,0.9753795650389824,0.988920804267542,-0.002153467377923657,grokked
0.3,0.05,43,1.0,0.9827656955272877,0.9938448912597456,-0.0031054575297496667,grokked
0.3,0.05,44,1.0,0.9794829708658186,0.9930242100943784,0.0010439064423470867,grokked
0.3,0.05,45,1.0,0.9807139926138695,0.9942552318424293,-0.004835453426343839,grokked
0.3,0.05,46,1.0,0.9786622897004513,0.988920804267542,-0.0015461633155519072,grokked
0.3,0.1,42,1.0,0.9634796881411571,0.9634796881411571,0.0017792367665161457,grokked
0.3,0.1,43,1.0,0.9593762823143209,0.9663520722199426,0.015760361099712683,grokked
0.3,0.1,44,1.0,0.9491177677472302,0.975789905621666,0.015865408288879723,high_acc_memorization
0.3,0.1,45,1.0,0.9708658186294624,0.9745588838736151,0.0029478867459992175,grokked
0.3,0.1,46,1.0,0.9634796881411571,0.9716864997948297,0.012431678292983195,grokked
0.3,0.15,42,1.0,0.8526877308165778,0.8875666803446861,0.017670906852687795,high_acc_memorization
0.3,0.15,43,1.0,0.8350430857611818,0.8838736151005334,0.02401641362330731,slow_grokking
0.3,0.15,44,1.0,0.8091916290521133,0.885514977431268,0.011282724661469068,high_acc_memorization
0.3,0.15,45,1.0,0.9002872384078785,0.9212146081247435,0.026281493639720988,slow_grokking
0.3,0.15,46,0.921455938697318,0.6249487074271646,0.8649979482970865,0.017395157981124343,intermediate
0.3,0.2,42,1.0,0.7267131719327041,0.8026261797291753,0.060582683627410816,slow_grokking
0.3,0.2,43,1.0,0.739023389413213,0.7443578169881001,0.001470660648338118,high_acc_memorization
0.3,0.2,44,1.0,0.6704965121050472,0.7250718096019696,0.00909971276159216,high_acc_memorization
0.3,0.2,45,1.0,0.6729585556011489,0.7086581862946245,0.039766926549035686,slow_grokking
0.3,0.2,46,1.0,0.6787033237587198,0.697168649979483,0.02277882642593354,slow_grokking
0.3,0.3,42,1.0,0.3647927780057448,0.3803857201477226,0.049687320475995056,slow_grokking
0.3,0.3,43,1.0,0.37997537956503896,0.41567501025851455,0.0381583914649159,slow_grokking
0.3,0.3,44,1.0,0.2708247845711941,0.2708247845711941,0.0380631924497333,slow_grokking
0.3,0.3,45,1.0,0.25112843660238,0.26959376282314323,0.039934345506770635,slow_grokking
0.3,0.3,46,1.0,0.18998768978251948,0.26261797291752154,0.030778826425933548,slow_grokking
1.0,0.0,42,1.0,1.0,1.0,0.019348379154698447,grokked
1.0,0.0,43,1.0,1.0,1.0,-0.00870250307755438,grokked
1.0,0.0,44,0.9616858237547893,0.9183422240459581,1.0,-0.001378744357817041,high_acc_memorization
1.0,0.0,45,1.0,1.0,1.0,0.00325318013951581,grokked
1.0,0.0,46,1.0,1.0,1.0,0.0078555601148953,grokked
1.0,0.05,42,1.0,0.9786622897004513,0.9950759130077965,0.0015363151415674903,grokked
1.0,0.05,43,1.0,0.9753795650389824,0.9967172753385309,0.0005219532211735434,grokked
1.0,0.05,44,0.9980842911877394,0.964710709889208,0.9958965941731637,0.001119409109560987,grokked
1.0,0.05,45,0.9990421455938697,0.9848173984407058,0.9958965941731637,0.0004070578580221973,grokked
1.0,0.05,46,1.0,0.9803036520311859,0.9942552318424293,-0.0009093147312269068,grokked
1.0,0.1,42,0.9990421455938697,0.9080837094788674,0.9651210504718917,-0.011978662289700459,high_acc_memorization
1.0,0.1,43,1.0,0.9458350430857612,0.9565038982355355,0.0056101764464505655,high_acc_memorization
1.0,0.1,44,0.9837164750957854,0.8424292162494871,0.9544521953221173,0.00043660237997544815,high_acc_memorization
1.0,0.1,45,1.0,0.9433729995896594,0.9782519491177677,-0.002281493639720966,high_acc_memorization
1.0,0.1,46,1.0,0.9281903980303652,0.9560935576528519,-0.004293803857201461,high_acc_memorization
1.0,0.15,42,1.0,0.8748461222814936,0.9244973327862126,-0.022745999179318854,high_acc_memorization
1.0,0.15,43,0.9952107279693486,0.7525646286417726,0.9113664341403365,-0.02116700861715215,high_acc_memorization
1.0,0.15,44,0.9990421455938697,0.8576118178087813,0.9023389413212967,-0.023586376692654842,high_acc_memorization
1.0,0.15,45,1.0,0.8674599917931883,0.9097250718096019,0.006887156339762002,high_acc_memorization
1.0,0.15,46,1.0,0.8592531801395158,0.8970045137464095,-0.0216462864177267,high_acc_memorization
1.0,0.2,42,1.0,0.8366844480919163,0.8399671727533853,0.07287977020927372,slow_grokking
1.0,0.2,43,0.9923371647509579,0.7127615921214608,0.8178087812884695,0.035082478457119426,slow_grokking
1.0,0.2,44,0.9980842911877394,0.7784160853508412,0.7903159622486664,0.058012310217480545,slow_grokking
1.0,0.2,45,0.9808429118773946,0.6819860484201887,0.7468198604842019,0.044864997948297014,slow_grokking
1.0,0.2,46,0.9980842911877394,0.780878128846943,0.8112433319655314,0.04009191629052111,slow_grokking
1.0,0.3,42,0.9961685823754789,0.2946245383668445,0.320475995075913,0.005232663110381619,memorization
1.0,0.3,43,0.9511494252873564,0.2548215018465326,0.3705375461633156,0.005482150184653256,memorization
1.0,0.3,44,0.935823754789272,0.21665982765695527,0.26384899466557243,0.006073040623717663,intermediate
1.0,0.3,45,0.9032567049808429,0.21789084940500617,0.344686089454247,0.014765695527287681,intermediate
1.0,0.3,46,0.9243295019157088,0.19491177677472302,0.26384899466557243,0.015133360689372183,stuck_low
3.0,0.0,42,0.26436781609195403,0.15962248666393106,0.18957734919983588,0.0003972096840377526,stuck_low
3.0,0.0,43,0.19923371647509577,0.1436192039392696,0.22650800164136234,-0.026639310627821072,stuck_low
3.0,0.0,44,0.2231800766283525,0.12761592121460813,0.21214608124743536,-0.00028887977020927713,stuck_low
3.0,0.0,45,0.2413793103448276,0.13254000820681167,0.18670496512105048,0.0029281903980303836,stuck_low
3.0,0.0,46,0.24521072796934865,0.1719327041444399,0.191629052113254,0.01144357816988098,stuck_low
3.0,0.05,42,0.17624521072796934,0.11489536315141567,0.1600328272466147,-0.002251949117767757,stuck_low
3.0,0.05,43,0.18199233716475097,0.12802626179729176,0.15305703734099302,0.000735330324169059,stuck_low
3.0,0.05,44,0.1417624521072797,0.09684037751333607,0.16331555190808372,-0.003423881821912181,stuck_low
3.0,0.05,45,0.11494252873563218,0.09273697168649979,0.16823963890028723,0.0017726713171932612,stuck_low
3.0,0.05,46,0.23754789272030652,0.1723430447271235,0.20845301600328273,0.0744686089454247,slow_grokking
3.0,0.1,42,0.10153256704980843,0.07960607304062371,0.09314731226918342,-0.0016577759540418596,stuck_low
3.0,0.1,43,0.15996168582375478,0.11284366023799754,0.16413623307345096,0.01112843660237997,stuck_low
3.0,0.1,44,0.18199233716475097,0.10094378334017234,0.13664341403364794,-0.0010471891670086192,stuck_low
3.0,0.1,45,0.11685823754789272,0.0553959786622897,0.08001641362330734,0.00015428805908904164,stuck_low
3.0,0.1,46,0.12260536398467432,0.04267542059909725,0.06975789905621665,-0.001237587197373824,stuck_low
3.0,0.15,42,0.16283524904214558,0.11694706606483381,0.14772260976610588,0.0015724251128436673,stuck_low
3.0,0.15,43,0.08333333333333333,0.06934755847353304,0.08329913828477636,0.002281493639720966,stuck_low
3.0,0.15,44,0.16666666666666666,0.11161263848994665,0.1407468198604842,0.0005547804677882712,stuck_low
3.0,0.15,45,0.20306513409961685,0.07386130488305294,0.11694706606483381,-0.0016676241280262627,stuck_low
3.0,0.15,46,0.1925287356321839,0.14608124743537135,0.15962248666393106,0.0038243742306114104,stuck_low
3.0,0.2,42,0.09865900383141762,0.06196142798522774,0.09478867459991794,-3.610997127616311e-05,stuck_low
3.0,0.2,43,0.1360153256704981,0.06647517439474764,0.09725071809601969,-0.00017726713171932473,stuck_low
3.0,0.2,44,0.11015325670498084,0.0689372178908494,0.1017644645055396,0.00320065654493229,stuck_low
3.0,0.2,45,0.15613026819923373,0.104636848584325,0.1317193270414444,-0.0015100533442757441,stuck_low
3.0,0.2,46,0.13026819923371646,0.08411981945014362,0.10504718916700861,-0.0011784981534673777,stuck_low
3.0,0.3,42,0.1331417624521073,0.046368485843249894,0.07263028313500206,0.0007025030775543728,stuck_low
3.0,0.3,43,0.09099616858237548,0.041444398851046366,0.053344275748871565,0.0009322938038572037,stuck_low
3.0,0.3,44,0.11206896551724138,0.049651210504718914,0.07468198604842019,-9.191629052113237e-05,stuck_low
3.0,0.3,45,0.09578544061302682,0.06401313089864588,0.07837505129257284,0.032620434961017644,slow_grokking
3.0,0.3,46,0.09482758620689655,0.06196142798522774,0.08453016003282725,-0.0007977020927369682,stuck_low
