run_dir,condition,collapse_level,collapse_severity,final_test_acc,final_train_acc,final_weight_norm,grokking_step_detected,grokked_detected,seed
results/exp_c_grid/wd1/noise0.15/seed_44,seed_44,0.0,0.5,0.8576118178087813,0.9990421455938697,35.727947137967014,-1,False,44
results/exp_c_grid/wd1/noise0.15/seed_46,seed_46,0.0,0.5,0.8592531801395158,1.0,42.20189801624742,-1,False,46
results/exp_c_grid/wd1/noise0.15/seed_45,seed_45,0.0,0.5,0.8674599917931883,1.0,39.071056537511595,-1,False,45
results/exp_c_grid/wd1/noise0.2/seed_42,seed_42,0.0,0.5,0.8366844480919163,1.0,42.9666030468863,-1,False,42
results/exp_c_grid/wd1/noise0.2/seed_43,seed_43,0.0,0.5,0.7127615921214608,0.9923371647509579,44.205731802272425,-1,False,43
results/exp_c_grid/wd1/noise0.2/seed_44,seed_44,0.0,0.5,0.7784160853508412,0.9980842911877394,43.47258994018289,-1,False,44
results/exp_c_grid/wd1/noise0.2/seed_46,seed_46,0.0,0.5,0.780878128846943,0.9980842911877394,41.757904963263464,-1,False,46
results/exp_c_grid/wd1/noise0.2/seed_45,seed_45,0.0,0.5,0.6819860484201887,0.9808429118773946,52.912206509636746,-1,False,45
results/exp_c_grid/wd1/noise0.1/seed_42,seed_42,0.0,0.5,0.9080837094788674,0.9990421455938697,37.28292450983197,-1,False,42
results/exp_c_grid/wd1/noise0.1/seed_43,seed_43,0.0,0.5,0.9458350430857612,1.0,41.36813213535897,-1,False,43
results/exp_c_grid/wd1/noise0.1/seed_44,seed_44,0.0,0.5,0.8424292162494871,0.9837164750957854,37.5825280926313,-1,False,44
results/exp_c_grid/wd1/noise0.1/seed_46,seed_46,0.0,0.5,0.9281903980303652,1.0,35.84945033967848,-1,False,46
results/exp_c_grid/wd1/noise0.1/seed_45,seed_45,0.0,0.5,0.9433729995896594,1.0,38.66930547418186,11500,True,45
results/exp_c_grid/wd1/noise0.3/seed_42,seed_42,0.0,0.5,0.2946245383668445,0.9961685823754789,59.73677542357692,-1,False,42
results/exp_c_grid/wd1/noise0.3/seed_43,seed_43,0.0,0.5,0.2548215018465326,0.9511494252873564,53.51159798026608,-1,False,43
results/exp_c_grid/wd1/noise0.3/seed_44,seed_44,0.0,0.5,0.21665982765695527,0.935823754789272,53.78428312583187,-1,False,44
results/exp_c_grid/wd1/noise0.3/seed_46,seed_46,0.0,0.5,0.19491177677472302,0.9243295019157088,59.72670926563865,-1,False,46
results/exp_c_grid/wd1/noise0.3/seed_45,seed_45,0.0,0.5,0.21789084940500617,0.9032567049808429,61.25458105918767,-1,False,45
results/exp_c_grid/wd1/noise0.05/seed_42,seed_42,0.0,0.5,0.9786622897004513,1.0,35.19744097235274,4400,True,42
results/exp_c_grid/wd1/noise0.05/seed_43,seed_43,0.0,0.5,0.9753795650389824,1.0,38.90040044678905,3800,True,43
results/exp_c_grid/wd1/noise0.05/seed_44,seed_44,0.0,0.5,0.964710709889208,0.9980842911877394,35.41857749523448,4300,True,44
results/exp_c_grid/wd1/noise0.05/seed_46,seed_46,0.0,0.5,0.9803036520311859,1.0,34.58414518794935,4200,True,46
results/exp_c_grid/wd1/noise0.05/seed_45,seed_45,0.0,0.5,0.9848173984407058,0.9990421455938697,33.22465534633911,3600,True,45
results/exp_c_grid/wd3/noise0/seed_42,seed_42,0.0,0.5,0.15962248666393106,0.26436781609195403,20.1183630846852,-1,False,42
results/exp_c_grid/wd3/noise0/seed_43,seed_43,0.0,0.5,0.1436192039392696,0.19923371647509577,19.839629036312207,-1,False,43
results/exp_c_grid/wd3/noise0/seed_44,seed_44,0.0,0.5,0.12761592121460813,0.2231800766283525,17.001009175341522,-1,False,44
results/exp_c_grid/wd3/noise0/seed_46,seed_46,0.0,0.5,0.1719327041444399,0.24521072796934865,21.59833990300232,-1,False,46
results/exp_c_grid/wd3/noise0/seed_45,seed_45,0.0,0.5,0.13254000820681167,0.2413793103448276,14.428192468526019,-1,False,45
results/exp_c_grid/wd3/noise0.15/seed_42,seed_42,0.0,0.5,0.11694706606483381,0.16283524904214558,18.655334719424904,-1,False,42
results/exp_c_grid/wd3/noise0.15/seed_43,seed_43,0.0,0.5,0.06934755847353304,0.08333333333333333,14.620187798710882,-1,False,43
results/exp_c_grid/wd3/noise0.15/seed_44,seed_44,0.0,0.5,0.11161263848994665,0.16666666666666666,16.55172215416316,-1,False,44
results/exp_c_grid/wd3/noise0.15/seed_46,seed_46,0.0,0.5,0.14608124743537135,0.1925287356321839,19.941130149239747,-1,False,46
results/exp_c_grid/wd3/noise0.15/seed_45,seed_45,0.0,0.5,0.07386130488305294,0.20306513409961685,21.659174575801444,-1,False,45
results/exp_c_grid/wd3/noise0.2/seed_42,seed_42,0.0,0.5,0.06196142798522774,0.09865900383141762,13.597873971532323,-1,False,42
results/exp_c_grid/wd3/noise0.2/seed_43,seed_43,0.0,0.5,0.06647517439474764,0.1360153256704981,14.264448786159955,-1,False,43
results/exp_c_grid/wd3/noise0.2/seed_44,seed_44,0.0,0.5,0.0689372178908494,0.11015325670498084,13.526702260045823,-1,False,44
results/exp_c_grid/wd3/noise0.2/seed_46,seed_46,0.0,0.5,0.08411981945014362,0.13026819923371646,17.78063977280279,-1,False,46
results/exp_c_grid/wd3/noise0.2/seed_45,seed_45,0.0,0.5,0.104636848584325,0.15613026819923373,14.903572925775851,-1,False,45
results/exp_c_grid/wd3/noise0.1/seed_42,seed_42,0.0,0.5,0.07960607304062371,0.10153256704980843,18.771366894924718,-1,False,42
results/exp_c_grid/wd3/noise0.1/seed_43,seed_43,0.0,0.5,0.11284366023799754,0.15996168582375478,18.750622307480725,-1,False,43
results/exp_c_grid/wd3/noise0.1/seed_44,seed_44,0.0,0.5,0.10094378334017234,0.18199233716475097,18.206494623824813,-1,False,44
results/exp_c_grid/wd3/noise0.1/seed_46,seed_46,0.0,0.5,0.04267542059909725,0.12260536398467432,10.268030910626951,-1,False,46
