experiment,stressor_name,stressor_value,seed,outcome_metric,outcome_value,extra
toy,noise_fraction,0.0,45,final_test_acc,1.0,wd=1 grokked=True fourier=0.33235228061676025
toy,noise_fraction,0.0,45,final_embedding_rank,23.18718910217285,wd=1
toy,noise_fraction,0.0,46,final_test_acc,1.0,wd=1 grokked=True fourier=0.31537413597106934
toy,noise_fraction,0.0,46,final_embedding_rank,25.401844024658203,wd=1
toy,noise_fraction,0.05,42,final_test_acc,0.9786622897004513,wd=1 grokked=True fourier=0.18970327079296112
toy,noise_fraction,0.05,42,final_embedding_rank,34.18342208862305,wd=1
toy,noise_fraction,0.05,43,final_test_acc,0.9753795650389824,wd=1 grokked=True fourier=0.19264346361160278
toy,noise_fraction,0.05,43,final_embedding_rank,35.055965423583984,wd=1
toy,noise_fraction,0.05,44,final_test_acc,0.964710709889208,wd=1 grokked=True fourier=0.20806139707565308
toy,noise_fraction,0.05,44,final_embedding_rank,33.84938049316406,wd=1
toy,noise_fraction,0.05,45,final_test_acc,0.9848173984407058,wd=1 grokked=True fourier=0.2058035433292389
toy,noise_fraction,0.05,45,final_embedding_rank,34.598236083984375,wd=1
toy,noise_fraction,0.05,46,final_test_acc,0.9803036520311859,wd=1 grokked=True fourier=0.2044810950756073
toy,noise_fraction,0.05,46,final_embedding_rank,32.216651916503906,wd=1
toy,noise_fraction,0.1,42,final_test_acc,0.9080837094788674,wd=1 grokked=True fourier=0.1784420907497406
toy,noise_fraction,0.1,42,final_embedding_rank,37.19802474975586,wd=1
toy,noise_fraction,0.1,43,final_test_acc,0.9458350430857612,wd=1 grokked=True fourier=0.18470138311386108
toy,noise_fraction,0.1,43,final_embedding_rank,37.69556427001953,wd=1
toy,noise_fraction,0.1,44,final_test_acc,0.8424292162494871,wd=1 grokked=True fourier=0.1751943975687027
toy,noise_fraction,0.1,44,final_embedding_rank,38.06435012817383,wd=1
toy,noise_fraction,0.1,45,final_test_acc,0.9433729995896594,wd=1 grokked=True fourier=0.18102236092090607
toy,noise_fraction,0.1,45,final_embedding_rank,35.780941009521484,wd=1
toy,noise_fraction,0.1,46,final_test_acc,0.9281903980303652,wd=1 grokked=True fourier=0.1758495569229126
toy,noise_fraction,0.1,46,final_embedding_rank,34.845924377441406,wd=1
toy,noise_fraction,0.15,42,final_test_acc,0.8748461222814936,wd=1 grokked=False fourier=0.18502621352672577
toy,noise_fraction,0.15,42,final_embedding_rank,35.370506286621094,wd=1
toy,noise_fraction,0.15,43,final_test_acc,0.7525646286417726,wd=1 grokked=False fourier=0.17711061239242554
toy,noise_fraction,0.15,43,final_embedding_rank,37.66147994995117,wd=1
toy,noise_fraction,0.15,44,final_test_acc,0.8576118178087813,wd=1 grokked=False fourier=0.172095388174057
toy,noise_fraction,0.15,44,final_embedding_rank,37.54557418823242,wd=1
toy,noise_fraction,0.15,45,final_test_acc,0.8674599917931883,wd=1 grokked=False fourier=0.17826145887374878
toy,noise_fraction,0.15,45,final_embedding_rank,36.37495803833008,wd=1
toy,noise_fraction,0.15,46,final_test_acc,0.8592531801395158,wd=1 grokked=False fourier=0.17912557721138
toy,noise_fraction,0.15,46,final_embedding_rank,37.4405517578125,wd=1
toy,noise_fraction,0.2,42,final_test_acc,0.8366844480919163,wd=1 grokked=False fourier=0.1766592413187027
toy,noise_fraction,0.2,42,final_embedding_rank,40.621131896972656,wd=1
toy,noise_fraction,0.2,43,final_test_acc,0.7127615921214608,wd=1 grokked=False fourier=0.18018989264965057
toy,noise_fraction,0.2,43,final_embedding_rank,40.037899017333984,wd=1
toy,noise_fraction,0.2,44,final_test_acc,0.7784160853508412,wd=1 grokked=False fourier=0.15364651381969452
toy,noise_fraction,0.2,44,final_embedding_rank,44.44281005859375,wd=1
toy,noise_fraction,0.2,45,final_test_acc,0.6819860484201887,wd=1 grokked=False fourier=0.1772218942642212
toy,noise_fraction,0.2,45,final_embedding_rank,41.37209701538086,wd=1
toy,noise_fraction,0.2,46,final_test_acc,0.780878128846943,wd=1 grokked=False fourier=0.1716097891330719
toy,noise_fraction,0.2,46,final_embedding_rank,41.57656478881836,wd=1
toy,noise_fraction,0.3,42,final_test_acc,0.2946245383668445,wd=1 grokked=False fourier=0.1684819459915161
toy,noise_fraction,0.3,42,final_embedding_rank,37.404869079589844,wd=1
toy,noise_fraction,0.3,43,final_test_acc,0.2548215018465326,wd=1 grokked=False fourier=0.15775428712368011
toy,noise_fraction,0.3,43,final_embedding_rank,40.31142807006836,wd=1
toy,noise_fraction,0.3,44,final_test_acc,0.21665982765695527,wd=1 grokked=False fourier=0.15453402698040009
toy,noise_fraction,0.3,44,final_embedding_rank,39.46044158935547,wd=1
toy,noise_fraction,0.3,45,final_test_acc,0.21789084940500617,wd=1 grokked=False fourier=0.16616129875183105
toy,noise_fraction,0.3,45,final_embedding_rank,39.16462707519531,wd=1
toy,noise_fraction,0.3,46,final_test_acc,0.19491177677472302,wd=1 grokked=False fourier=0.15826834738254547
toy,noise_fraction,0.3,46,final_embedding_rank,37.71199417114258,wd=1
toy,noise_fraction,0.0,42,final_test_acc,0.15962248666393106,wd=3 grokked=False fourier=0.5632962584495544
toy,noise_fraction,0.0,42,final_embedding_rank,14.363845825195312,wd=3
toy,noise_fraction,0.0,43,final_test_acc,0.1436192039392696,wd=3 grokked=False fourier=0.7374321222305298
toy,noise_fraction,0.0,43,final_embedding_rank,6.938549041748047,wd=3
toy,noise_fraction,0.0,44,final_test_acc,0.12761592121460813,wd=3 grokked=False fourier=0.433070570230484
toy,noise_fraction,0.0,44,final_embedding_rank,9.389318466186523,wd=3
toy,noise_fraction,0.0,45,final_test_acc,0.13254000820681167,wd=3 grokked=False fourier=0.343481183052063
toy,noise_fraction,0.0,45,final_embedding_rank,10.38189697265625,wd=3
toy,noise_fraction,0.0,46,final_test_acc,0.1719327041444399,wd=3 grokked=False fourier=0.7075446248054504
toy,noise_fraction,0.0,46,final_embedding_rank,7.929908275604248,wd=3
toy,noise_fraction,0.05,42,final_test_acc,0.11489536315141567,wd=3 grokked=False fourier=0.5616557598114014
toy,noise_fraction,0.05,42,final_embedding_rank,9.965343475341797,wd=3
toy,noise_fraction,0.05,43,final_test_acc,0.12802626179729176,wd=3 grokked=False fourier=0.5226038098335266
toy,noise_fraction,0.05,43,final_embedding_rank,10.767102241516113,wd=3
toy,noise_fraction,0.05,44,final_test_acc,0.09684037751333607,wd=3 grokked=False fourier=0.5427687764167786
toy,noise_fraction,0.05,44,final_embedding_rank,9.569036483764648,wd=3
toy,noise_fraction,0.05,45,final_test_acc,0.09273697168649979,wd=3 grokked=False fourier=0.6569744944572449
toy,noise_fraction,0.05,45,final_embedding_rank,7.410679340362549,wd=3
toy,noise_fraction,0.05,46,final_test_acc,0.1723430447271235,wd=3 grokked=False fourier=0.6051097512245178
toy,noise_fraction,0.05,46,final_embedding_rank,11.429048538208008,wd=3
toy,noise_fraction,0.1,42,final_test_acc,0.07960607304062371,wd=3 grokked=False fourier=0.5911786556243896
toy,noise_fraction,0.1,42,final_embedding_rank,8.233785629272461,wd=3
toy,noise_fraction,0.1,43,final_test_acc,0.11284366023799754,wd=3 grokked=False fourier=0.5433443784713745
toy,noise_fraction,0.1,43,final_embedding_rank,11.028613090515137,wd=3
toy,noise_fraction,0.1,44,final_test_acc,0.10094378334017234,wd=3 grokked=False fourier=0.43867504596710205
toy,noise_fraction,0.1,44,final_embedding_rank,13.11661434173584,wd=3
toy,noise_fraction,0.1,45,final_test_acc,0.0553959786622897,wd=3 grokked=False fourier=0.20903776586055756
toy,noise_fraction,0.1,45,final_embedding_rank,13.442753791809082,wd=3
toy,noise_fraction,0.1,46,final_test_acc,0.04267542059909725,wd=3 grokked=False fourier=0.1946837455034256
toy,noise_fraction,0.1,46,final_embedding_rank,16.92580795288086,wd=3
toy,noise_fraction,0.15,42,final_test_acc,0.11694706606483381,wd=3 grokked=False fourier=0.5432414412498474
toy,noise_fraction,0.15,42,final_embedding_rank,10.750203132629395,wd=3
toy,noise_fraction,0.15,43,final_test_acc,0.06934755847353304,wd=3 grokked=False fourier=0.5460665822029114
toy,noise_fraction,0.15,43,final_embedding_rank,6.249237537384033,wd=3
toy,noise_fraction,0.15,44,final_test_acc,0.11161263848994665,wd=3 grokked=False fourier=0.6066146492958069
toy,noise_fraction,0.15,44,final_embedding_rank,6.555115222930908,wd=3
toy,noise_fraction,0.15,45,final_test_acc,0.07386130488305294,wd=3 grokked=False fourier=0.32566070556640625
toy,noise_fraction,0.15,45,final_embedding_rank,19.614503860473633,wd=3
toy,noise_fraction,0.15,46,final_test_acc,0.14608124743537135,wd=3 grokked=False fourier=0.5050593018531799
toy,noise_fraction,0.15,46,final_embedding_rank,14.28140640258789,wd=3
toy,noise_fraction,0.2,42,final_test_acc,0.06196142798522774,wd=3 grokked=False fourier=0.3212379813194275
toy,noise_fraction,0.2,42,final_embedding_rank,10.951395988464355,wd=3
toy,noise_fraction,0.2,43,final_test_acc,0.06647517439474764,wd=3 grokked=False fourier=0.3297671973705292
toy,noise_fraction,0.2,43,final_embedding_rank,13.494832992553711,wd=3
toy,noise_fraction,0.2,44,final_test_acc,0.0689372178908494,wd=3 grokked=False fourier=0.36633890867233276
toy,noise_fraction,0.2,44,final_embedding_rank,14.631972312927246,wd=3
toy,noise_fraction,0.2,45,final_test_acc,0.104636848584325,wd=3 grokked=False fourier=0.3423473834991455
toy,noise_fraction,0.2,45,final_embedding_rank,13.163785934448242,wd=3
toy,noise_fraction,0.2,46,final_test_acc,0.08411981945014362,wd=3 grokked=False fourier=0.37952977418899536
toy,noise_fraction,0.2,46,final_embedding_rank,12.569087982177734,wd=3
toy,noise_fraction,0.3,42,final_test_acc,0.046368485843249894,wd=3 grokked=False fourier=0.3280599117279053
toy,noise_fraction,0.3,42,final_embedding_rank,16.114612579345703,wd=3
toy,noise_fraction,0.3,43,final_test_acc,0.041444398851046366,wd=3 grokked=False fourier=0.3694288730621338
toy,noise_fraction,0.3,43,final_embedding_rank,10.662748336791992,wd=3
toy,noise_fraction,0.3,44,final_test_acc,0.049651210504718914,wd=3 grokked=False fourier=0.3528585731983185
toy,noise_fraction,0.3,44,final_embedding_rank,13.976472854614258,wd=3
toy,noise_fraction,0.3,45,final_test_acc,0.06401313089864588,wd=3 grokked=False fourier=0.3647547960281372
toy,noise_fraction,0.3,45,final_embedding_rank,13.037969589233398,wd=3
toy,noise_fraction,0.3,46,final_test_acc,0.06196142798522774,wd=3 grokked=False fourier=0.3827897310256958
toy,noise_fraction,0.3,46,final_embedding_rank,12.050902366638184,wd=3
real,ratio_pct,0,0,perplexity,112.3407168416324,wd=0.1
real,ratio_pct,0,0,attn_effective_rank,54.90496063232422,wd=0.1
real,ratio_pct,0,1,perplexity,111.10570034527916,wd=0.1
real,ratio_pct,0,1,attn_effective_rank,54.91496276855469,wd=0.1
real,ratio_pct,0,2,perplexity,112.23744085436591,wd=0.1
real,ratio_pct,0,2,attn_effective_rank,55.64324188232422,wd=0.1
real,ratio_pct,10,0,perplexity,113.49004158551145,wd=0.1
real,ratio_pct,10,0,attn_effective_rank,57.0545654296875,wd=0.1
