wd,noise,n,grok_count,grok_rate,test_acc_mean,test_acc_std,train_acc_mean,fourier_mean,fourier_std,rank_mean,rank_std,weight_norm_mean,grok_step_median
0.3,0.0,5,5,1.0,1.0,0.0,1.0,0.29724286794662474,0.03628462071178884,31.767495346069335,3.015915486497113,26.573504085564412,3000.0
0.3,0.05,5,5,1.0,0.9794009027492819,0.002728070601328621,1.0,0.18536266088485717,0.007658637513936375,40.265794372558595,0.7517736559022903,42.447685253709594,6700.0
0.3,0.1,5,5,1.0,0.9612638489946655,0.007954682657967218,1.0,0.19007604718208312,0.006949299430140136,40.43261032104492,1.085827262999151,42.78618526538385,25400.0
0.3,0.15,5,0,0.0,0.8044316782929832,0.10570097828229164,0.9842911877394636,0.18246539533138276,0.006132100439785267,40.4937629699707,0.8527348096870003,51.372376043173105,
0.3,0.2,5,0,0.0,0.6975789905621667,0.03264336063650912,1.0,0.17173130810260773,0.004675137971198814,39.906409454345706,1.6847270734823578,54.21596773078297,
0.3,0.3,5,0,0.0,0.2913418137053755,0.07994009596620405,1.0,0.14652765393257142,0.004535251578932636,39.66238250732422,2.23885415451605,60.42278736389457,
1.0,0.0,5,5,1.0,0.9836684448091916,0.036518467584937084,0.9923371647509579,0.3093924880027771,0.03806138796876236,25.70656509399414,3.0919976888871137,32.92607525111,1400.0
1.0,0.05,5,5,1.0,0.9767747230201067,0.00755294238151402,0.9994252873563219,0.20013855397701263,0.008348543660970202,33.98073120117188,1.084867876781316,35.46504388973295,2800.0
1.0,0.1,5,5,1.0,0.9135822732868281,0.04252680793213039,0.996551724137931,0.17904195785522461,0.0039149098002362066,36.71696090698242,1.358441719367631,38.15046811033652,12300.0
1.0,0.15,5,0,0.0,0.8423471481329503,0.05066202498448465,0.9988505747126437,0.17832385003566742,0.0046323325179694315,36.878614044189455,0.9876167316846546,40.60280685069209,
1.0,0.2,5,0,0.0,0.75814526056627,0.06114735597538546,0.9938697318007663,0.17186546623706817,0.01064146693141861,41.61010055541992,1.6979318409343445,45.063007252448365,
1.0,0.3,5,0,0.0,0.23578169881001232,0.03930989965256186,0.9421455938697318,0.16103998124599456,0.005966906931434606,38.810671997070315,1.2230217004423207,57.60278937090024,
3.0,0.0,5,0,0.0,0.14706606483381207,0.018555381549199938,0.23467432950191572,0.5569649517536164,0.1704463700646309,9.800703716278075,2.873199187891699,18.597106733573455,
3.0,0.05,5,0,0.0,0.12096840377513336,0.03203601225296807,0.17049808429118773,0.5778225183486938,0.05373281835857747,9.828242015838622,1.5309011768669327,19.6894264796601,
3.0,0.1,5,0,0.0,0.07829298317603611,0.029586381234162212,0.13659003831417624,0.3953839182853699,0.1851401135372206,12.549514961242675,3.209753878090167,14.902377777215621,
3.0,0.15,5,0,0.0,0.10356996306934756,0.03203364699215347,0.16168582375478927,0.5053285360336304,0.10681345341204203,11.490093231201172,5.616170648165962,18.285509879468027,
3.0,0.2,5,0,0.0,0.07722609766105867,0.017436819416954852,0.12624521072796935,0.34784424901008604,0.024550528246542816,12.962215042114257,1.3518824099173072,14.814647543263348,
3.0,0.3,5,0,0.0,0.05268773081657776,0.009872081499348758,0.1053639846743295,0.3595783770084381,0.02062258445595807,13.168541145324706,2.054096730402949,16.705740195331305,
