condition,step,grokking_step,is_post_grokking,in_proj_eff_rank,in_proj_pr,out_proj_eff_rank,out_proj_pr,linear1_eff_rank,linear1_pr,linear2_eff_rank,linear2_pr
high_collapse,5000,-1,False,12.183699607849121,1.073635458946228,52.18699264526367,29.279024124145508,58.474464416503906,29.910503387451172,73.77202606201172,38.93124008178711
high_collapse,10000,-1,False,12.011249542236328,1.111578345298767,52.50999450683594,29.440519332885742,53.60788345336914,25.249967575073242,66.07879638671875,33.75197219848633
high_collapse,15000,-1,False,12.695255279541016,1.1692358255386353,52.2053108215332,29.031620025634766,51.656612396240234,23.943355560302734,62.5617561340332,28.767738342285156
high_collapse,20000,-1,False,13.437931060791016,1.2115696668624878,51.11183166503906,28.763113021850586,50.4172477722168,23.607101440429688,61.81089782714844,28.303510665893555
high_collapse,25000,-1,False,13.711051940917969,1.2369481325149536,50.8687858581543,28.343603134155273,49.397342681884766,23.25804328918457,59.98381042480469,27.93703842163086
high_collapse,30000,-1,False,13.749306678771973,1.2153050899505615,50.757816314697266,28.321300506591797,48.86207962036133,22.818490982055664,59.11030578613281,27.198486328125
high_collapse,35000,-1,False,13.529244422912598,1.2044802904129028,50.1820068359375,28.293798446655273,49.03689193725586,23.043079376220703,58.630035400390625,26.726667404174805
high_collapse,40000,-1,False,13.438706398010254,1.2184985876083374,50.18815612792969,27.22574806213379,48.46174621582031,22.157245635986328,59.051963806152344,25.97654151916504
high_collapse,45000,-1,False,13.881821632385254,1.2623493671417236,50.6253662109375,27.495668411254883,48.31324768066406,21.96412467956543,58.71452713012695,25.396259307861328
high_collapse,50000,-1,False,14.057891845703125,1.3187134265899658,50.42669677734375,27.753257751464844,48.47941589355469,21.667266845703125,59.8671989440918,25.375389099121094
low_collapse,5000,3100,True,10.637977600097656,1.1137003898620605,44.7436408996582,20.52188491821289,49.10358810424805,16.31166648864746,56.77084732055664,21.64348602294922
low_collapse,10000,3100,True,13.037786483764648,1.3829748630523682,41.90289306640625,19.89374542236328,45.930355072021484,16.736278533935547,42.084312438964844,14.959796905517578
low_collapse,15000,3100,True,16.057445526123047,1.7585856914520264,41.640174865722656,16.99007797241211,55.07099151611328,21.522228240966797,42.47205352783203,14.883040428161621
low_collapse,20000,3100,True,17.0191650390625,2.111821174621582,41.49009704589844,13.163718223571777,56.125205993652344,21.710906982421875,45.1969108581543,15.747505187988281
low_collapse,25000,3100,True,16.70802116394043,2.042496919631958,40.73130416870117,13.390528678894043,54.94430160522461,21.950672149658203,47.330711364746094,17.338443756103516
low_collapse,30000,3100,True,14.205575942993164,1.7620313167572021,38.56565475463867,15.055274963378906,54.26749038696289,21.01447296142578,44.27458190917969,16.165334701538086
low_collapse,35000,3100,True,14.83536148071289,1.5983374118804932,38.76652145385742,14.339635848999023,53.90499496459961,18.226146697998047,42.890560150146484,16.00209617614746
low_collapse,40000,3100,True,14.243244171142578,1.5385677814483643,39.07331085205078,15.384644508361816,54.43115997314453,20.912925720214844,44.94083023071289,16.711790084838867
