condition,grokking_step,rank_drop_step,max_rank,min_rank
high_collapse,-1,5000,14.057891845703125,12.011249542236328
low_collapse,3100,5000,17.0191650390625,10.637977600097656
medium_collapse,-1,5000,16.441192626953125,11.209110260009766
pure,1400,5000,12.57354736328125,7.423858642578125
severe_collapse,-1,5000,13.383485794067383,11.107231140136719
