ratio_pct,seed,final_step,n_logged,weight_decay,lr,perplexity,train_loss,attn_effective_rank,repr_entropy,cos_sim_mean,cos_sim_std,distinct_2,distinct_3,distinct_4
0,0,50000,101,0.1,5e-05,112.3407168416324,4.808337688446045,54.90496063232422,3.6874921321868896,0.047522179782390594,0.14840766787528992,0.7142857142857143,0.8689516129032258,0.9139344262295082
0,1,50000,101,0.1,5e-05,111.10570034527916,4.719621181488037,54.91496276855469,3.664520740509033,0.05412810668349266,0.15205354988574982,0.75,0.8911290322580645,0.9426229508196722
0,2,50000,101,0.1,5e-05,112.23744085436591,4.853277683258057,55.64324188232422,3.6501450538635254,0.055569130927324295,0.15423022210597992,0.7757936507936508,0.907258064516129,0.9631147540983607
10,0,50000,101,0.1,5e-05,113.49004158551145,4.622726917266846,57.0545654296875,3.6723878383636475,0.04967711865901947,0.15078911185264587,0.7559523809523809,0.8971774193548387,0.9508196721311475
